rank_no,asin,category,jan,name,amazon_price,buybox,sales_rank,offer_count,size,buy_source,verdict,gem,durable,amazon_url,supplier_hint,※Keepa固有の加工値(月間ドロップ数/過去最安値/365日最安/月間販売数/実セラー数)と卸値の列は規約上の理由でリポジトリから除外。完全版は ~/Documents/AI Company 素材/Amazon物販事業/keepa-netsea-full-20260906/
52,B00EURO2GM,home_kitchen,0699234157798,谷口金属 自宅でおいしいどんぶりが作れる 親子鍋 17cm IH ガス火専用 フッ素加工 こびりつきにくい PFOS P,1229.0,,3026,9,standard_1,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B00EURO2GM,Yahoo最安 JAN=0699234157798,
53,B0011EZ76G,home_kitchen,0699234182479,谷口金属 雪平鍋 ガス火専用 24cm 3.8L 日本製 軽量 煮物 味噌汁 和の職人,3107.0,,3026,7,standard_1,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0011EZ76G,Yahoo最安 JAN=0699234182479,
54,B0011EZ75C,home_kitchen,0699234166684,谷口金属 雪平鍋 ガス火専用 18cm 1.8L 日本製 軽量 煮物 味噌汁 和の職人,2320.0,,3300,8,standard_1,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0011EZ75C,Yahoo最安 JAN=0699234166684,
55,B0CYBWBJKW,home_kitchen,6978290255223,fuwawa 敷きパッド ダブル ベッドパッド 敷パット 洗える シーツ 抗菌防臭 防ダニ加工 オールシーズン ゴムバン,2780.0,,2288,2,standard_1,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0CYBWBJKW,Yahoo最安 JAN=6978290255223,
56,B0011EU608,home_kitchen,4904761204249,谷口金属 雪平鍋 ガス火専用 22cm 3.1L 日本製 軽量 煮物 味噌汁 和の職人,1998.0,,3300,9,standard_1,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0011EU608,Yahoo最安 JAN=4904761204249,
57,B0DP6BGXCB,home_kitchen,4901126249228,ラストロウェア 弁当箱 イージーケア ランチボックススリム 男性 1段 800ml ダークグレー パッキン一体型 洗いや,1668.0,,3029,6,small,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0DP6BGXCB,Yahoo最安 JAN=4901126249228,
58,B0DP69ZY2T,home_kitchen,4901126249235,岩崎工業 ラストロウェア 弁当箱 イージーケア ランチボックススリム 男性 1段 800ml ライトグレー パッキン一体,1480.0,,3029,5,small,楽天,はずれ,False,False,https://www.amazon.co.jp/dp/B0DP69ZY2T,楽天最安 JAN=4901126249235,
59,B0DP68PCSD,home_kitchen,4901126249129,ラストロウェア 弁当箱 イージーケア ランチボックススリム 男性 1段 600ml ダークグレー パッキン一体型 洗いや,1442.0,,3029,6,small,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0DP68PCSD,Yahoo最安 JAN=4901126249129,
60,B0DP68PCSH,home_kitchen,4901126249136,岩崎工業 ラストロウェア 弁当箱 イージーケア ランチボックススリム 男性 1段 600ml ライトグレー パッキン一体,1282.0,,3029,6,small,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0DP68PCSH,Yahoo最安 JAN=4901126249136,
61,B08L3CKD64,home_kitchen,4993896303149,盛り塩 セット 必要なものがそろった 簡単 八角 盛り塩 清めの塩500g 固め器 へら 八角皿2枚入り 浄化 開運 お,1595.0,,3031,3,standard_1,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B08L3CKD64,Yahoo最安 JAN=4993896303149,
62,B07ZYM8NDR,home_kitchen,4953980997029,不二貿易 カラーボックス 収納ボックス 3段 幅42×奥行29×高さ120㎝ ミディアムブラウン 工具不要 A4サイズ対,3651.0,,2954,4,large_2,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B07ZYM8NDR,Yahoo最安 JAN=4953980997029,
63,B0FHKGD67V,home_kitchen,4953980438638,不二貿易 カラーボックス 本棚 収納ボックス 3段 A4対応 幅41.8×奥行29×高さ102cm アッシュグレー 43,2283.0,,2954,3,large_2,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0FHKGD67V,Yahoo最安 JAN=4953980438638,
64,B0FHJ354YH,home_kitchen,4953980438607,不二貿易 カラーボックス 本棚 収納ボックス 3段 A4対応 幅41.8×奥行29×高さ102cm ナチュラル 4386,3128.0,,3033,2,large_2,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0FHJ354YH,Yahoo最安 JAN=4953980438607,
65,B00UFJTT12,home_kitchen,4953980966001,不二貿易 カラーボックス 3段 幅41.8cm 奥行29cm 高さ89cm ナチュラル 可動棚 96600,1892.0,,3033,7,large_2,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B00UFJTT12,Yahoo最安 JAN=4953980966001,
66,B00UFJTLSI,home_kitchen,4953980966018,不二貿易 カラーボックス 3段 幅41.8×奥行29×高さ89cm ホワイト 収納ボックス 可動棚 組立商品 96601,1891.0,,3033,7,large_2,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B00UFJTLSI,Yahoo最安 JAN=4953980966018,
67,B0BY2ND52N,home_kitchen,2000072557677,アイリスプラザ こだわり10層構造ポケットコイルマットレス セミダブル 部屋が広く見える薄型タイプ 厚さ14cm 高密度,10000.0,,3033,4,large_2,,,False,False,https://www.amazon.co.jp/dp/B0BY2ND52N,,
68,B0FHKGM9FL,home_kitchen,4953980438621,不二貿易 カラーボックス 本棚 収納ボックス 3段 A4対応 幅41.8×奥行29×高さ102cm ブラウン 43862,2709.0,,2954,2,large_2,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0FHKGM9FL,Yahoo最安 JAN=4953980438621,
69,B0FHJ1LJWC,home_kitchen,4953980438584,不二貿易 カラーボックス 本棚 収納ボックス 3段 幅41.8×奥行29×高さ89cm アッシュグレー 43858,1782.0,,3033,4,large_2,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0FHJ1LJWC,Yahoo最安 JAN=4953980438584,
70,B0FCRVZLFF,home_kitchen,4953980438577,不二貿易 カラーボックス 収納ボックス 幅41.8×奥行29×高さ89cm 耐荷重 ブラウン 43857,1782.0,,3033,3,large_2,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0FCRVZLFF,Yahoo最安 JAN=4953980438577,
71,B0D6287Y25,home_kitchen,4903208017503,山崎実業(Yamazaki) 倒して置ける 冷水筒 ティーバッグ入れ付き ブラック W8.5×D10×H27.2cm タ,2530.0,,3043,10,standard_1,Yahoo,はずれ,False,False,https://www.amazon.co.jp/dp/B0D6287Y25,Yahoo最安 JAN=4903208017503,
72,B0GV43J821,home_kitchen,,BOTSIONE サーキュレーター DCモーター 静音 20畳【2026最新進化 整う冷感】 3D首振り 2段階高さ調節,4999.0,,3044,6,standard_2,,,False,False,https://www.amazon.co.jp/dp/B0GV43J821,,
73,B0F2M78MV4,home_kitchen,,POOPEE LEDセンサーライト 小型 マイクロ波人感センサー付 LEDシーリングライト 4畳 照明器具 玄関灯 廊下,1691.0,,3047,2,small,,,False,False,https://www.amazon.co.jp/dp/B0F2M78MV4,,
74,B0H1QPJVRB,home_kitchen,,Foompk 首掛け扇風機 ネッククーラー 冷却プレート 瞬間冷感 ネックファン【3段階送風・3段階冷却・3段階加熱】8,9490.0,,3046,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0H1QPJVRB,,
75,B0F2M1DMHK,home_kitchen,,POOPEE LEDセンサーライト 小型 マイクロ波人感センサー付 LEDシーリングライト 4畳 照明器具 玄関灯 廊下,1691.0,,3047,2,small,,,False,False,https://www.amazon.co.jp/dp/B0F2M1DMHK,,
76,B0B7RLQBHZ,home_kitchen,,POOPEE LEDセンサーライト 小型 人感センサー付 LEDシーリングライト 4畳 照明器具 玄関灯 廊下灯 10W,2975.0,,3047,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0B7RLQBHZ,,
77,B0F2MHDPLJ,home_kitchen,,POOPEE LEDセンサーライト 小型 マイクロ波人感センサー付 LEDシーリングライト 4畳 照明器具 玄関灯 廊下,3500.0,,3047,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0F2MHDPLJ,,
78,B0F2MH24LT,home_kitchen,,POOPEE LEDセンサーライト 小型 マイクロ波人感センサー付 LEDシーリングライト 4畳 照明器具 玄関灯 廊下,2975.0,,3047,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0F2MH24LT,,
79,B0GCLN8L8S,home_kitchen,,POOPEE【人感センサー/常時点灯切替え】LEDマイクロ波センサーライト 小型 LEDシーリングライト 4畳 照明器具,3230.0,,3047,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0GCLN8L8S,,
80,B0B7RMJRBK,home_kitchen,,POOPEE LEDセンサーライト 小型 人感センサー付 シーリングライト 4畳 照明器具 玄関 廊下灯 10W消費電力,1691.0,,3047,2,small,,,False,False,https://www.amazon.co.jp/dp/B0B7RMJRBK,,
81,B0B7RMGK93,home_kitchen,,POOPEE LEDセンサーライト 小型 人感センサー付 LEDシーリングライト 4畳 照明器具 玄関灯 廊下灯 10W,1691.0,,3047,2,small,,,False,False,https://www.amazon.co.jp/dp/B0B7RMGK93,,
82,B0GCMK4R3Y,home_kitchen,,POOPEE【人感センサー/常時点灯切替え】LEDマイクロ波センサーライト 小型 LEDシーリングライト 4畳 照明器具,1946.0,,3047,2,small,,,False,False,https://www.amazon.co.jp/dp/B0GCMK4R3Y,,
83,B0B7RLDPVX,home_kitchen,,POOPEE LEDセンサーライト 小型 人感センサー付 LEDシーリングライト 4畳 照明器具 玄関灯 廊下灯 10W,2975.0,,3047,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0B7RLDPVX,,
84,B0DJW4L1RN,home_kitchen,,チェアマット AOHDM 床保護 ゲーミングチェアマット 140×100cm 厚さ4mm 畳・フローリング対応 デスク下,3280.0,,3053,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0DJW4L1RN,,
85,B0GSR625JK,home_kitchen,,チェアマットAOHDM 床保護ゲーミングチェアマット 床傷防止パッド180×140cm 厚さ4mm 畳・フローリング対応,5980.0,,3053,2,standard_2,,,False,False,https://www.amazon.co.jp/dp/B0GSR625JK,,
86,B0GSR69RZV,home_kitchen,,チェアマットAOHDM 床保護ゲーミングチェアマット 床傷防止パッド180×140cm 厚さ4mm 畳・フローリング対応,4780.0,,3053,2,standard_2,,,False,False,https://www.amazon.co.jp/dp/B0GSR69RZV,,
87,B0GSR3VN6Q,home_kitchen,,チェアマットAOHDM 床保護ゲーミングチェアマット 床傷防止パッド180×140cm 厚さ4mm 畳・フローリング対応,4581.0,,3053,2,standard_2,,,False,False,https://www.amazon.co.jp/dp/B0GSR3VN6Q,,
88,B0DJW4YJ4S,home_kitchen,,チェアマット AOHDM 床保護 ゲーミングチェアマット 140×100cm 厚さ4mm 畳・フローリング対応 デスク下,2414.0,,3053,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0DJW4YJ4S,,
89,B0DJW2XT2H,home_kitchen,,チェアマット AOHDM 床保護 ゲーミングチェアマット 140×100cm 厚さ4mm 畳・フローリング対応 デスク下,2590.0,,3053,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0DJW2XT2H,,
90,B0DJW3VFPL,home_kitchen,,チェアマットAOHDM 床保護ゲーミングチェアマット 床傷防止パッド180×140cm 厚さ4mm 畳・フローリング対応,5980.0,,3053,2,standard_2,,,False,False,https://www.amazon.co.jp/dp/B0DJW3VFPL,,
91,B0DJW4H2MJ,home_kitchen,,チェアマット AOHDM 床保護 ゲーミングチェアマット 140×100cm 厚さ4mm 畳・フローリング対応 デスク下,2460.0,,3053,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0DJW4H2MJ,,
92,B0GSR4SX3T,home_kitchen,,チェアマット AOHDM ゲーミングチェアマット 120×90cm 厚さ4mm 畳・フローリング対応 デスク下床保護マッ,1898.0,,3053,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0GSR4SX3T,,
93,B0GSR1W97Z,home_kitchen,,チェアマットAOHDM 床保護ゲーミングチェアマット 床傷防止パッド180×140cm 厚さ4mm 畳・フローリング対応,4679.0,,3053,2,standard_2,,,False,False,https://www.amazon.co.jp/dp/B0GSR1W97Z,,
94,B0DJW4SGC7,home_kitchen,,チェアマット AOHDM 床保護 ゲーミングチェアマット 140×100cm 厚さ4mm 畳・フローリング対応 デスク下,3280.0,,3053,2,standard_1,,,False,False,https://www.amazon.co.jp/dp/B0DJW4SGC7,,
95,B0DJW54J4W,home_kitchen,,チェアマット AOHDM 床保護 ゲーミングチェアマット 160×140cm 厚さ4mm 畳・フローリング対応 デスク下,3980.0,,3053,2,standard_2,,,False,False,https://www.amazon.co.jp/dp/B0DJW54J4W,,
